,id,pos,dist,angle,pitch-roll
0,[5],"(272, 190, 105, 104)",0.3806740550151217,-177.2105366865221,"(-0.13672156751494505, 0.02577134304880836)"
0,[5],"(274, 192, 101, 100)",0.41461225712858246,167.38930188613378,"(-0.18218573708327535, 0.036249638932936055)"
1,[5],"(274, 192, 101, 100)",0.4138115379755823,-178.21549858248957,"(-0.18927468485984733, 0.021126078085920586)"
2,[5],"(272, 189, 106, 105)",0.3458370522688743,-166.86707164665714,"(-0.015476050260295294, -0.01298107475510283)"
3,[5],"(272, 190, 106, 104)",0.35185186931130663,-166.65443871352693,"(-0.014750441441043493, -0.01312806441844603)"
0,[5],"(274, 192, 101, 100)",0.4356678884754885,-177.72148303564927,"(-0.15314548674403855, 0.01108140046744437)"
1,[5],"(274, 193, 101, 99)",0.41440471904948023,-173.96337892064372,"(0.20453102286359287, 0.01293330708650895)"
2,[5],"(272, 190, 106, 104)",0.4150701042581337,-173.5623483477865,"(-0.18975357143659347, -0.007541265571757147)"
3,[5],"(272, 190, 105, 104)",0.37602593696689285,175.12485083975685,"(0.11615463607836726, 0.020884584062521108)"
0,[5],"(274, 192, 101, 100)",0.43072990975581926,-175.5446268121997,"(-0.17926388520965658, 0.004328506416934315)"
1,[5],"(274, 193, 101, 99)",0.3438521213256944,178.42004448325255,"(-0.24263973869278488, -0.017464662031029563)"
2,[5],"(271, 190, 107, 104)",0.34983764304395065,178.38828632949753,"(-0.24509804912380212, -0.01773862634945901)"
3,[5],"(272, 190, 106, 104)",0.4072596152626961,-176.42349355682848,"(-0.12788826206047535, 0.004012953735437027)"
0,[5],"(274, 192, 102, 100)",0.352499736408029,-175.46468577517547,"(-0.19069243129573582, 0.02181567857492343)"
1,[5],"(274, 192, 101, 100)",0.35879013062340226,-175.39690439751936,"(-0.19292733438686593, 0.022141773615501868)"
2,[5],"(272, 189, 106, 105)",0.36531096580112526,-175.32874762324593,"(-0.19516766932039548, 0.0224837095641419)"
3,[5],"(272, 189, 105, 105)",0.37207514205623365,-175.2601521299171,"(-0.19741498090460666, 0.022842375565262692)"
0,[5],"(274, 192, 101, 100)",0.41742811150234366,-177.89327987797077,"(-0.14884686515576911, 0.021266772053193123)"
1,[5],"(272, 189, 106, 105)",0.3672164830870593,170.3537301802775,"(-0.05919520339488223, 0.024044952127665612)"
2,[5],"(272, 189, 105, 105)",0.37588202290317857,174.55184997549097,"(-0.07444088409792225, 0.01811623181840348)"
0,[5],"(274, 192, 102, 100)",0.3653413333422867,-168.18524571814618,"(-0.12493013772683771, 0.010321889415682154)"
1,[5],"(274, 192, 101, 100)",0.3646225571675931,-163.7581142578753,"(-0.0665600161792179, 0.027365505564650835)"
2,[5],"(272, 189, 106, 105)",0.36982434260131003,-169.13305267118133,"(0.006043614153653593, 0.016643385669744777)"
